fileName,codec,quality,originalSize,compressedSize,compressionRatio,encodeTime,decodeTime,psnr,ssim
output/BMP/12,BMP,-1,1179702,1179702,1.000000,2.892407,2.323445,inf,1.000000
output/PNG/12,PNG,-1,1179702,816692,1.444488,51.582792,6.978563,inf,1.000000
output/JPG/12_q1,JPG,1,1179702,7799,151.263239,4.771278,1.273230,21.904934,0.669902
output/JPG/12_q10,JPG,10,1179702,11635,101.392523,5.015182,1.388729,28.712201,0.790599
output/JPG/12_q30,JPG,30,1179702,23138,50.985478,5.277430,1.557951,32.815634,0.882125
output/JPG/12_q50,JPG,50,1179702,32209,36.626471,5.522195,1.674973,34.616666,0.911739
output/JPG/12_q70,JPG,70,1179702,44723,26.377971,5.901195,1.810230,36.266021,0.933696
output/JPG/12_q90,JPG,90,1179702,86692,13.607968,7.100324,2.184241,39.944718,0.964382
output/BMP/13,BMP,-1,1179702,1179702,1.000000,2.694371,2.269964,inf,1.000000
output/PNG/13,PNG,-1,1179702,1077126,1.095231,54.737628,6.366419,inf,1.000000
output/JPG/13_q1,JPG,1,1179702,9979,118.218459,4.842844,1.353712,18.741810,0.343043
output/JPG/13_q10,JPG,10,1179702,24723,47.716782,5.338205,1.582788,22.796357,0.686785
output/JPG/13_q30,JPG,30,1179702,54256,21.743254,6.202167,1.872970,25.884537,0.839807
output/JPG/13_q50,JPG,50,1179702,75202,15.687109,6.783051,2.068491,27.601966,0.885623
output/JPG/13_q70,JPG,70,1179702,103081,11.444417,7.541743,2.345959,29.706137,0.922819
output/JPG/13_q90,JPG,90,1179702,187519,6.291107,9.540843,3.149886,35.357375,0.974777
output/BMP/23,BMP,-1,1179702,1179702,1.000000,2.759164,2.269854,inf,1.000000
output/PNG/23,PNG,-1,1179702,824064,1.431566,51.362343,5.964716,inf,1.000000
output/JPG/23_q1,JPG,1,1179702,7802,151.205076,4.752733,1.304429,22.531999,0.673622
output/JPG/23_q10,JPG,10,1179702,11616,101.558368,4.931823,1.396844,28.872271,0.832525
output/JPG/23_q30,JPG,30,1179702,20551,57.403630,5.216463,1.538865,33.390029,0.907553
output/JPG/23_q50,JPG,50,1179702,27626,42.702599,5.413398,1.605662,35.090685,0.927686
output/JPG/23_q70,JPG,70,1179702,37533,31.431061,5.720622,1.729116,36.645609,0.942956
output/JPG/23_q90,JPG,90,1179702,76202,15.481247,6.721765,2.104079,39.691297,0.964113
output/BMP/05,BMP,-1,1179702,1179702,1.000000,2.678941,2.284662,inf,1.000000
output/PNG/05,PNG,-1,1179702,1012908,1.164668,55.648309,6.782390,inf,1.000000
output/JPG/05_q1,JPG,1,1179702,10311,114.411987,4.833957,1.365846,19.464170,0.428265
output/JPG/05_q10,JPG,10,1179702,24727,47.709063,5.340179,1.629718,23.947626,0.766302
output/JPG/05_q30,JPG,30,1179702,50859,23.195541,6.076278,1.857179,27.729406,0.893245
output/JPG/05_q50,JPG,50,1179702,68940,17.112010,6.553835,2.032062,29.587908,0.926539
output/JPG/05_q70,JPG,70,1179702,92148,12.802253,7.169074,2.277939,31.587280,0.950283
output/JPG/05_q90,JPG,90,1179702,163003,7.237302,8.909141,2.954876,36.390444,0.980004
output/BMP/14,BMP,-1,1179702,1179702,1.000000,2.703488,2.241440,inf,1.000000
output/PNG/14,PNG,-1,1179702,969524,1.216785,54.103844,6.969926,inf,1.000000
output/JPG/14_q1,JPG,1,1179702,8568,137.686975,4.794471,1.359293,20.739967,0.409507
output/JPG/14_q10,JPG,10,1179702,18506,63.747001,5.141702,1.524237,25.164088,0.718154
output/JPG/14_q30,JPG,30,1179702,40528,29.108320,5.811375,1.724617,28.725951,0.861574
output/JPG/14_q50,JPG,50,1179702,56204,20.989645,6.236522,1.872188,30.290467,0.899074
output/JPG/14_q70,JPG,70,1179702,76578,15.405234,6.827134,2.083630,31.997747,0.928091
output/JPG/14_q90,JPG,90,1179702,142164,8.298177,8.462633,2.726662,36.332250,0.969354
output/BMP/09,BMP,-1,1179702,1179702,1.000000,2.656518,2.267650,inf,1.000000
output/PNG/09,PNG,-1,1179702,843190,1.399094,51.189775,6.609061,inf,1.000000
output/JPG/09_q1,JPG,1,1179702,8054,146.474050,4.772611,1.300371,23.376515,0.698022
output/JPG/09_q10,JPG,10,1179702,13085,90.156821,4.948154,1.383239,28.555155,0.852162
output/JPG/09_q30,JPG,30,1179702,23137,50.987682,5.278381,1.509649,32.793439,0.909168
output/JPG/09_q50,JPG,50,1179702,30650,38.489462,5.471449,1.592196,34.541696,0.925035
output/JPG/09_q70,JPG,70,1179702,41843,28.193533,5.815362,1.724217,36.158911,0.937428
output/JPG/09_q90,JPG,90,1179702,85221,13.842856,6.903821,2.151378,39.701615,0.959173
output/BMP/18,BMP,-1,1179702,1179702,1.000000,2.757471,2.269313,inf,1.000000
output/PNG/18,PNG,-1,1179702,1035727,1.139009,55.027208,6.901777,inf,1.000000
output/JPG/18_q1,JPG,1,1179702,8305,142.047200,4.771489,1.329377,20.859350,0.414704
output/JPG/18_q10,JPG,10,1179702,18427,64.020296,5.150619,1.527463,25.199407,0.731905
output/JPG/18_q30,JPG,30,1179702,39040,30.217777,5.767120,1.737251,28.604198,0.858080
output/JPG/18_q50,JPG,50,1179702,54119,21.798296,6.280496,1.894831,30.290359,0.893263
output/JPG/18_q70,JPG,70,1179702,74689,15.794856,6.787841,2.071256,32.097724,0.921236
output/JPG/18_q90,JPG,90,1179702,140369,8.404292,8.424401,2.724488,36.373853,0.960985
output/BMP/10,BMP,-1,1179702,1179702,1.000000,2.654395,2.256137,inf,1.000000
output/PNG/10,PNG,-1,1179702,850199,1.387560,52.874548,7.119491,inf,1.000000
output/JPG/10_q1,JPG,1,1179702,7927,148.820739,4.814410,1.296774,23.056788,0.632464
output/JPG/10_q10,JPG,10,1179702,13365,88.268013,4.972601,1.413256,28.211369,0.819103
output/JPG/10_q30,JPG,30,1179702,25062,47.071343,5.350588,1.574031,32.416795,0.897278
output/JPG/10_q50,JPG,50,1179702,34132,34.562932,5.625862,1.661328,34.185379,0.920264
output/JPG/10_q70,JPG,70,1179702,46803,25.205692,5.982350,1.809249,35.884827,0.937389
output/JPG/10_q90,JPG,90,1179702,92387,12.769134,7.173613,2.268801,39.485810,0.963398
output/BMP/02,BMP,-1,1179702,1179702,1.000000,2.700232,2.291645,inf,1.000000
output/PNG/02,PNG,-1,1179702,882502,1.336770,52.544901,6.596367,inf,1.000000
output/JPG/02_q1,JPG,1,1179702,7377,159.916226,4.716775,1.280844,21.821573,0.501412
output/JPG/02_q10,JPG,10,1179702,11182,105.500089,4.840339,1.365085,27.823345,0.712044
output/JPG/02_q30,JPG,30,1179702,23257,50.724599,5.234528,1.537151,31.378038,0.826882
output/JPG/02_q50,JPG,50,1179702,33698,35.008072,5.568613,1.654635,32.851558,0.867174
output/JPG/02_q70,JPG,70,1179702,48688,24.229831,6.007797,1.798919,34.398436,0.899286
output/JPG/02_q90,JPG,90,1179702,98796,11.940787,7.385667,2.300422,37.925918,0.948451
output/BMP/20,BMP,-1,1179702,1179702,1.000000,2.697527,2.274853,inf,1.000000
output/PNG/20,PNG,-1,1179702,709294,1.663206,42.174162,5.288651,inf,1.000000
output/JPG/20_q1,JPG,1,1179702,8043,146.674375,4.546761,1.285834,22.778960,0.708547
output/JPG/20_q10,JPG,10,1179702,12638,93.345624,4.723076,1.386676,28.281117,0.839274
output/JPG/20_q30,JPG,30,1179702,22920,51.470419,5.048715,1.520128,31.958436,0.905160
output/JPG/20_q50,JPG,50,1179702,30400,38.805987,5.270326,1.615881,33.538130,0.923117
output/JPG/20_q70,JPG,70,1179702,40919,28.830177,5.566950,1.733444,35.176484,0.938305
output/JPG/20_q90,JPG,90,1179702,77657,15.191187,6.528077,2.186115,39.006737,0.962636
output/BMP/08,BMP,-1,1179702,1179702,1.000000,2.714058,2.260035,inf,1.000000
output/PNG/08,PNG,-1,1179702,1000098,1.179586,55.504245,8.554357,inf,1.000000
output/JPG/08_q1,JPG,1,1179702,12220,96.538625,4.938035,1.391625,19.413533,0.549561
output/JPG/08_q10,JPG,10,1179702,25619,46.047933,5.278743,1.593348,23.646761,0.793001
output/JPG/08_q30,JPG,30,1179702,51102,23.085241,6.088040,1.883290,27.537397,0.895122
output/JPG/08_q50,JPG,50,1179702,68983,17.101344,6.573793,2.105742,29.432129,0.923878
output/JPG/08_q70,JPG,70,1179702,92485,12.755604,7.161861,2.330368,31.445664,0.945805
output/JPG/08_q90,JPG,90,1179702,165002,7.149622,8.934941,3.060858,36.255247,0.976864
output/BMP/11,BMP,-1,1179702,1179702,1.000000,2.753964,2.268031,inf,1.000000
output/PNG/11,PNG,-1,1179702,856701,1.377029,51.579306,6.762522,inf,1.000000
output/JPG/11_q1,JPG,1,1179702,8306,142.030099,4.785244,1.297596,21.225057,0.506368
output/JPG/11_q10,JPG,10,1179702,15497,76.124540,5.001545,1.454645,26.323187,0.732906
output/JPG/11_q30,JPG,30,1179702,32876,35.883380,5.554957,1.631160,30.012056,0.868599
output/JPG/11_q50,JPG,50,1179702,45627,25.855349,5.897919,1.764965,31.720980,0.904082
output/JPG/11_q70,JPG,70,1179702,62463,18.886413,6.366380,1.926592,33.580675,0.931441
output/JPG/11_q90,JPG,90,1179702,116670,10.111443,7.775367,2.473160,38.089904,0.968883
output/BMP/04,BMP,-1,1179702,1179702,1.000000,2.757030,2.229307,inf,1.000000
output/PNG/04,PNG,-1,1179702,902181,1.307611,52.668105,6.875917,inf,1.000000
output/JPG/04_q1,JPG,1,1179702,7721,152.791348,4.768683,1.292546,21.288796,0.544164
output/JPG/04_q10,JPG,10,1179702,12915,91.343554,4.966559,1.411403,27.838194,0.749661
output/JPG/04_q30,JPG,30,1179702,26300,44.855589,5.374484,1.569242,31.711755,0.860787
output/JPG/04_q50,JPG,50,1179702,36825,32.035356,5.717216,1.670475,33.264372,0.895779
output/JPG/04_q70,JPG,70,1179702,51371,22.964357,6.115883,1.818346,34.758593,0.920955
output/JPG/04_q90,JPG,90,1179702,100981,11.682416,7.424761,2.303167,38.452747,0.960185
output/BMP/16,BMP,-1,1179702,1179702,1.000000,2.788590,2.241470,inf,1.000000
output/PNG/16,PNG,-1,1179702,805399,1.464742,50.388162,5.873132,inf,1.000000
output/JPG/16_q1,JPG,1,1179702,7366,160.155037,4.732114,1.258241,23.135673,0.542747
output/JPG/16_q10,JPG,10,1179702,13018,90.620833,4.917476,1.389300,27.687315,0.757974
output/JPG/16_q30,JPG,30,1179702,27393,43.065820,5.398771,1.551990,31.754561,0.879440
output/JPG/16_q50,JPG,50,1179702,37937,31.096344,5.734619,1.683179,33.453712,0.913292
output/JPG/16_q70,JPG,70,1179702,51667,22.832795,6.183822,1.792747,35.220695,0.938069
output/JPG/16_q90,JPG,90,1179702,98083,12.027589,7.322807,2.252561,39.447375,0.970880
output/BMP/17,BMP,-1,1179702,1179702,1.000000,2.756378,2.310671,inf,1.000000
output/PNG/17,PNG,-1,1179702,869927,1.356093,53.690178,6.950489,inf,1.000000
output/JPG/17_q1,JPG,1,1179702,8037,146.783875,4.829278,1.317785,22.982213,0.498253
output/JPG/17_q10,JPG,10,1179702,14144,83.406533,5.013268,1.425760,27.987954,0.805078
output/JPG/17_q30,JPG,30,1179702,27566,42.795545,5.459325,1.573551,31.971839,0.906035
output/JPG/17_q50,JPG,50,1179702,37528,31.435248,5.719139,1.699219,33.701181,0.929992
output/JPG/17_q70,JPG,70,1179702,51258,23.014983,6.134969,1.822494,35.395328,0.946831
output/JPG/17_q90,JPG,90,1179702,98251,12.007023,7.305975,2.287066,39.233563,0.970331
output/BMP/21,BMP,-1,1179702,1179702,1.000000,2.705191,2.260927,inf,1.000000
output/PNG/21,PNG,-1,1179702,920129,1.282105,52.326506,6.505834,inf,1.000000
output/JPG/21_q1,JPG,1,1179702,8443,139.725453,4.787529,1.311262,20.689595,0.608913
output/JPG/21_q10,JPG,10,1179702,16468,71.636021,5.076007,1.435328,26.145939,0.816547
output/JPG/21_q30,JPG,30,1179702,31715,37.196973,5.541111,1.626641,29.849194,0.894271
output/JPG/21_q50,JPG,50,1179702,42774,27.579885,5.835671,1.723606,31.470646,0.916141
output/JPG/21_q70,JPG,70,1179702,58623,20.123535,6.292469,1.894160,33.252835,0.934010
output/JPG/21_q90,JPG,90,1179702,114790,10.277045,7.721485,2.443894,37.799065,0.961928
output/BMP/06,BMP,-1,1179702,1179702,1.000000,2.642552,2.227544,inf,1.000000
output/PNG/06,PNG,-1,1179702,875883,1.346872,50.670239,6.261139,inf,1.000000
output/JPG/06_q1,JPG,1,1179702,8359,141.129561,4.762371,1.301173,20.915316,0.504439
output/JPG/06_q10,JPG,10,1179702,17451,67.600825,5.074084,1.466157,25.685241,0.755349
output/JPG/06_q30,JPG,30,1179702,36302,32.496887,6.669686,1.685803,29.429793,0.878051
output/JPG/06_q50,JPG,50,1179702,49753,23.711173,6.088582,1.814989,31.167148,0.912183
output/JPG/06_q70,JPG,70,1179702,67457,17.488207,6.553365,1.990142,33.122687,0.937977
output/JPG/06_q90,JPG,90,1179702,123341,9.564557,8.033408,2.576126,37.798877,0.972352
output/BMP/07,BMP,-1,1179702,1179702,1.000000,2.741290,2.255877,inf,1.000000
output/PNG/07,PNG,-1,1179702,801162,1.472489,53.345081,7.902098,inf,1.000000
output/JPG/07_q1,JPG,1,1179702,8395,140.524360,4.784312,1.319458,21.879077,0.642586
output/JPG/07_q10,JPG,10,1179702,15219,77.515080,5.002828,1.452811,27.711803,0.858550
output/JPG/07_q30,JPG,30,1179702,27892,42.295354,5.391847,1.584892,32.118783,0.928347
output/JPG/07_q50,JPG,50,1179702,37182,31.727772,5.656069,1.691465,33.924986,0.946122
output/JPG/07_q70,JPG,70,1179702,49534,23.816005,6.002968,1.833805,35.713203,0.959852
output/JPG/07_q90,JPG,90,1179702,91034,12.958916,7.060708,2.247321,39.635974,0.977586
output/BMP/19,BMP,-1,1179702,1179702,1.000000,2.701244,2.251269,inf,1.000000
output/PNG/19,PNG,-1,1179702,925578,1.274557,52.283454,6.860759,inf,1.000000
output/JPG/19_q1,JPG,1,1179702,8924,132.194307,4.822224,1.333344,21.497109,0.602040
output/JPG/19_q10,JPG,10,1179702,15198,77.622187,5.010572,1.452210,26.849199,0.766293
output/JPG/19_q30,JPG,30,1179702,30828,38.267225,5.519169,1.643683,30.696406,0.875333
output/JPG/19_q50,JPG,50,1179702,42395,27.826442,5.876278,1.763111,32.377553,0.905284
output/JPG/19_q70,JPG,70,1179702,57973,20.349163,6.291968,1.926391,34.046943,0.928320
output/JPG/19_q90,JPG,90,1179702,112686,10.468931,7.711095,2.428194,38.264183,0.964493
output/BMP/03,BMP,-1,1179702,1179702,1.000000,2.696825,2.229727,inf,1.000000
output/PNG/03,PNG,-1,1179702,770992,1.530109,51.321386,5.984413,inf,1.000000
output/JPG/03_q1,JPG,1,1179702,7557,156.107185,4.721153,1.294089,22.760231,0.674659
output/JPG/03_q10,JPG,10,1179702,11738,100.502811,4.895474,1.401162,28.555738,0.820258
output/JPG/03_q30,JPG,30,1179702,21982,53.666727,5.261109,1.539085,32.865343,0.900281
output/JPG/03_q50,JPG,50,1179702,30007,39.314227,5.463263,1.627333,34.567487,0.925738
output/JPG/03_q70,JPG,70,1179702,41122,28.687856,5.810563,1.762189,36.269338,0.945788
output/JPG/03_q90,JPG,90,1179702,78143,15.096707,6.798801,2.115310,40.151040,0.971323
output/BMP/01,BMP,-1,1179702,1179702,1.000000,2.686917,2.295293,inf,1.000000
output/PNG/01,PNG,-1,1179702,971604,1.214180,53.319283,7.776409,inf,1.000000
output/JPG/01_q1,JPG,1,1179702,9360,126.036538,4.837534,1.333935,19.944723,0.408081
output/JPG/01_q10,JPG,10,1179702,21582,54.661384,5.234959,1.511813,24.773765,0.730645
output/JPG/01_q30,JPG,30,1179702,45309,26.036814,5.926513,1.739707,28.209147,0.865697
output/JPG/01_q50,JPG,50,1179702,61653,19.134543,6.375908,1.915119,29.873066,0.903890
output/JPG/01_q70,JPG,70,1179702,83684,14.097103,6.960429,2.117113,31.713748,0.934227
output/JPG/01_q90,JPG,90,1179702,154299,7.645558,8.757023,2.846710,36.917776,0.976366
output/BMP/15,BMP,-1,1179702,1179702,1.000000,2.748593,2.289551,inf,1.000000
output/PNG/15,PNG,-1,1179702,853058,1.382909,52.345031,6.975447,inf,1.000000
output/JPG/15_q1,JPG,1,1179702,8120,145.283498,4.745549,1.284361,21.821762,0.625178
output/JPG/15_q10,JPG,10,1179702,12717,92.765747,4.902257,1.407705,27.821579,0.784720
output/JPG/15_q30,JPG,30,1179702,24464,48.221959,5.242173,1.557180,31.530201,0.874640
output/JPG/15_q50,JPG,50,1179702,33812,34.890039,5.523156,1.669633,33.080527,0.902832
output/JPG/15_q70,JPG,70,1179702,46884,25.162145,5.921283,1.809549,34.736298,0.925648
output/JPG/15_q90,JPG,90,1179702,92393,12.768305,7.125833,2.304460,38.468982,0.960165
output/BMP/24,BMP,-1,1179702,1179702,1.000000,2.623536,2.250147,inf,1.000000
output/PNG/24,PNG,-1,1179702,908029,1.299190,53.539351,7.092921,inf,1.000000
output/JPG/24_q1,JPG,1,1179702,8967,131.560388,4.716884,1.321091,20.786224,0.479647
output/JPG/24_q10,JPG,10,1179702,18654,63.241235,5.007547,1.493579,24.803444,0.759734
output/JPG/24_q30,JPG,30,1179702,38830,30.381200,5.623578,1.732843,28.282515,0.879753
output/JPG/24_q50,JPG,50,1179702,53558,22.026625,6.067912,1.881346,29.984403,0.913566
output/JPG/24_q70,JPG,70,1179702,72852,16.193131,6.571510,2.070055,31.813944,0.939086
output/JPG/24_q90,JPG,90,1179702,134551,8.767694,8.096136,2.677819,35.937592,0.973092
output/BMP/22,BMP,-1,1179702,1179702,1.000000,2.695042,2.228586,inf,1.000000
output/PNG/22,PNG,-1,1179702,979579,1.204295,53.682003,7.434038,inf,1.000000
output/JPG/22_q1,JPG,1,1179702,7815,150.953551,4.756109,1.281125,21.795346,0.490845
output/JPG/22_q10,JPG,10,1179702,14434,81.730775,4.968763,1.416402,26.736742,0.724822
output/JPG/22_q30,JPG,30,1179702,31146,37.876517,5.487068,1.614729,30.221893,0.850091
output/JPG/22_q50,JPG,50,1179702,43642,27.031346,5.853464,1.729537,31.734586,0.886622
output/JPG/22_q70,JPG,70,1179702,60792,19.405547,6.345460,1.903007,33.280256,0.915172
output/JPG/22_q90,JPG,90,1179702,118258,9.975663,7.794874,2.455287,37.081196,0.957358
